"Sentence";"P";"P_DESC";"A0";"A0_DESC";"A1";"A1_DESC";"A2";"A2_DESC";"DomainActions"
"The system checks to see if a Registration is in progress.";"see";"view";"The system";"viewer";"if a Registration is in progress";"thing viewed";"";"";""
"If it is, then a message is displayed to the Registrar and the use case terminates.";"displayed";"to present, exhibit";"";"";"a message";"entity displayed";"to the Registrar";"location";""
"If it is, then a message is displayed to the Registrar and the use case terminates.";"terminates";"end, stop";"";"";"the use case";"Thing ending";"";"";""
"The Close Registration processing cannot be performed if registration is in progress.";"performed";"perform";"";"";"The Close Registration processing cannot";"performance, thing performed";"";"";""
"For each open course offering, the system checks if three students have registered and a professor has signed up to teach the course offering.";"registered";"official record";"three students";"entity registering";"";"";"";"";""
"For each open course offering, the system checks if three students have registered and a professor has signed up to teach the course offering.";"signed";"sign up: enroll, enter";"";"";"to teach the course offering";"patient enrolled";"";"";""
"For each open course offering, the system checks if three students have registered and a professor has signed up to teach the course offering.";"teach";"(try to) make learn";"a professor";"teacher";"the course offering";"subject";"";"";""
"If so, the system closes the course offering and sends a transaction to the billing system for each student enrolled in the course offering.";"closes";"shut";"the system";"person doing the closing";"the course offering";"thing closing";"";"";""
"If so, the system closes the course offering and sends a transaction to the billing system for each student enrolled in the course offering.";"sends";"give";"the system";"sender";"a transaction";"sent";"to the billing system";"sent-to";""
"If so, the system closes the course offering and sends a transaction to the billing system for each student enrolled in the course offering.";"enrolled";"register membership in";"";"";"each student";"entity enrolled";"in the course offering";"enrolled in what";""
"If in the basic flow less than three students signed up for the course offering, the system will cancel the course offering.";"signed";"sign up: enroll, enter";"";"";"less than three students";"patient enrolled";"";"";""
"If in the basic flow less than three students signed up for the course offering, the system will cancel the course offering.";"cancel";"cause to be not valid";"the system";"canceller";"the course offering";"cancelled";"";"";""
"The Cancel Course Offering sub-flow is executed at this point.";"executed";"enact";"";"";"The Cancel Course Offering sub-flow";"thing done";"";"";""
